"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008092","GO:0008092","cytoskeletal protein binding","16/69","308/21809",1.65416616496086e-15,1.50529121011438e-13,9.92499698976516e-14,"NA/DRP5A/ZCF125/NA/NA/NET3C/NA/MAP65-4/CORD3/NA/NA/NA/ADL1/AtFIM2/ATMAP65-3/ATEB1C",16
"GO:0030332","GO:0030332","cyclin binding","4/69","10/21809",1.89911771455527e-08,4.32049280061324e-07,2.8486765718329e-07,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0003777","GO:0003777","microtubule motor activity","6/69","65/21809",5.7280955155361e-08,1.04251338382757e-06,6.87371461864332e-07,"NA/ZCF125/NA/NA/NA/NA",6
"GO:0008353","GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","4/69","28/21809",1.77381580185581e-06,2.30596054241255e-05,1.52041354444784e-05,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0004693","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","4/69","33/21809",3.5030310003021e-06,3.54195356697213e-05,2.3353540002014e-05,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0097472","GO:0097472","cyclin-dependent protein kinase activity","4/69","33/21809",3.5030310003021e-06,3.54195356697213e-05,2.3353540002014e-05,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","4/69","53/21809",2.39016573120848e-05,0.000197731892309065,0.000130372676247735,"CYCB2;3/CYCA1;1/CYCA2;4/CKS2",4
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","3/69","31/21809",0.000127856534559736,0.000894995741918149,0.000590107082583395,"TOR2/TBB7/TUB2",3
"GO:0003924","GO:0003924","GTPase activity","5/69","193/21809",0.000366024443661917,0.00208176402332715,0.00137259166373219,"TOR2/DRP5A/TBB7/ADL1/TUB2",5
"GO:0008139","GO:0008139","nuclear localization sequence binding","2/69","17/21809",0.00130109555784529,0.00657776087577343,0.00433698519281765,"IMPA-6/ATIMPALPHA3",2
"GO:0061608","GO:0061608","nuclear import signal receptor activity","2/69","17/21809",0.00130109555784529,0.00657776087577343,0.00433698519281765,"IMPA-6/ATIMPALPHA3",2
"GO:0030276","GO:0030276","clathrin binding","2/69","46/21809",0.00933373257249786,0.0402418353615958,0.0265330782603928,"NA/ADL1",2
