"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008378","GO:0008378","galactosyltransferase activity","3/83","38/21809",0.000407277406235104,0.0484660113419774,0.0428713059194847,"AtGolS2/AtSIP2/RS5",3
"GO:0015145","GO:0015145","monosaccharide transmembrane transporter activity","2/83","22/21809",0.00314610948719824,0.187193514488296,0.165584709852539,"ESL1/ATSTP1",2
"GO:0015144","GO:0015144","carbohydrate transmembrane transporter activity","3/83","95/21809",0.00571983791067188,0.220689862226341,0.195214384985706,"ESL1/ATSTP1/ATOCT6",3
"GO:0016857","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives","2/83","34/21809",0.00741814662945683,0.220689862226341,0.195214384985706,"NA/NA",2
"GO:0051119","GO:0051119","sugar transmembrane transporter activity","2/83","39/21809",0.00967872444876361,0.230353641880574,0.203762619973971,"ESL1/ATSTP1",2
"GO:0016854","GO:0016854","racemase and epimerase activity","2/83","43/21809",0.0116795753854818,0.231644911812056,0.204904831324243,"NA/NA",2
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","5/83","393/21809",0.0171039390340724,0.265520351374286,0.234869837571239,"NA/AtGH9C2/BGLU25/ATBFRUCT1/AtSIP2",5
"GO:0005509","GO:0005509","calcium ion binding","4/83","262/21809",0.0178501076554142,0.265520351374286,0.234869837571239,"AtNCL/CML39/CML16/ATCML9",4
"GO:0030246","GO:0030246","carbohydrate binding","3/83","176/21809",0.0296644018705885,0.291207969643045,0.257592188981022,"AtGH9C2/NA/NA",3
"GO:0015267","GO:0015267","channel activity","3/83","177/21809",0.0300951228462904,0.291207969643045,0.257592188981022,"ERD4/ATNLM2/AtKAT1",3
"GO:0022803","GO:0022803","passive transmembrane transporter activity","3/83","177/21809",0.0300951228462904,0.291207969643045,0.257592188981022,"ERD4/ATNLM2/AtKAT1",3
"GO:0051287","GO:0051287","NAD binding","2/83","75/21809",0.0331966948645857,0.291207969643045,0.257592188981022,"GPDHC1/UGD3",2
"GO:0071949","GO:0071949","FAD binding","2/83","76/21809",0.0340112221494117,0.291207969643045,0.257592188981022,"MO1/NA",2
"GO:0009922","GO:0009922","fatty acid elongase activity","1/83","10/21809",0.037420069151659,0.291207969643045,0.257592188981022,"KCS1",1
"GO:0070003","GO:0070003","threonine-type peptidase activity","1/83","10/21809",0.037420069151659,0.291207969643045,0.257592188981022,"GGT1",1
"GO:0015368","GO:0015368","calcium:cation antiporter activity","1/83","11/21809",0.041085105816663,0.291207969643045,0.257592188981022,"AtNCL",1
"GO:0099094","GO:0099094","ligand-gated cation channel activity","1/83","12/21809",0.0447363552990562,0.291207969643045,0.257592188981022,"AtKAT1",1
"GO:0022836","GO:0022836","gated channel activity","2/83","93/21809",0.0489936786661232,0.291207969643045,0.257592188981022,"ERD4/AtKAT1",2
"GO:0005261","GO:0005261","cation channel activity","2/83","94/21809",0.0499380134120737,0.291207969643045,0.257592188981022,"ERD4/AtKAT1",2
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","1/83","14/21809",0.0519976974665851,0.291207969643045,0.257592188981022,"NA",1
"GO:0004564","GO:0004564","beta-fructofuranosidase activity","1/83","15/21809",0.0556078920575593,0.291207969643045,0.257592188981022,"ATBFRUCT1",1
"GO:0005227","GO:0005227","calcium activated cation channel activity","1/83","16/21809",0.0592045032789605,0.291207969643045,0.257592188981022,"ERD4",1
"GO:0022839","GO:0022839","ion gated channel activity","1/83","16/21809",0.0592045032789605,0.291207969643045,0.257592188981022,"ERD4",1
"GO:0035250","GO:0035250","UDP-galactosyltransferase activity","1/83","16/21809",0.0592045032789605,0.291207969643045,0.257592188981022,"AtGolS2",1
"GO:0004089","GO:0004089","carbonate dehydratase activity","1/83","18/21809",0.0663571773738244,0.291207969643045,0.257592188981022,"ACA7",1
"GO:0047372","GO:0047372","acylglycerol lipase activity","1/83","20/21809",0.0734561214233649,0.291207969643045,0.257592188981022,"MAGL7",1
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","1/83","22/21809",0.0805017341557789,0.291207969643045,0.257592188981022,"AtKAT1",1
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","2/83","126/21809",0.0833119585523928,0.291207969643045,0.257592188981022,"NPF5.12/ATNLM2",2
"GO:0004568","GO:0004568","chitinase activity","1/83","23/21809",0.0840046650808755,0.291207969643045,0.257592188981022,"NA",1
"GO:0005267","GO:0005267","potassium channel activity","1/83","23/21809",0.0840046650808755,0.291207969643045,0.257592188981022,"AtKAT1",1
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","1/83","23/21809",0.0840046650808755,0.291207969643045,0.257592188981022,"KCS1",1
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","1/83","23/21809",0.0840046650808755,0.291207969643045,0.257592188981022,"KCS1",1
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","1/83","23/21809",0.0840046650808755,0.291207969643045,0.257592188981022,"KCS1",1
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","1/83","23/21809",0.0840046650808755,0.291207969643045,0.257592188981022,"KCS1",1
"GO:0016840","GO:0016840","carbon-nitrogen lyase activity","1/83","24/21809",0.087494411376583,0.291207969643045,0.257592188981022,"NA",1
"GO:0022843","GO:0022843","voltage-gated cation channel activity","1/83","26/21809",0.0944345459897682,0.291207969643045,0.257592188981022,"AtKAT1",1
"GO:0005216","GO:0005216","ion channel activity","2/83","137/21809",0.0960026684449815,0.291207969643045,0.257592188981022,"ERD4/AtKAT1",2
"GO:0004312","GO:0004312","fatty acid synthase activity","1/83","27/21809",0.0978850318127883,0.291207969643045,0.257592188981022,"KCS1",1
"GO:0015112","GO:0015112","nitrate transmembrane transporter activity","1/83","27/21809",0.0978850318127883,0.291207969643045,0.257592188981022,"NPF5.12",1
"GO:0015925","GO:0015925","galactosidase activity","1/83","27/21809",0.0978850318127883,0.291207969643045,0.257592188981022,"AtSIP2",1
"GO:0008810","GO:0008810","cellulase activity","1/83","28/21809",0.101322528018809,0.294082459371665,0.260134860125312,"AtGH9C2",1
"GO:0015276","GO:0015276","ligand-gated ion channel activity","1/83","32/21809",0.114943580140752,0.318099675273243,0.281379633147495,"AtKAT1",1
"GO:0022834","GO:0022834","ligand-gated channel activity","1/83","32/21809",0.114943580140752,0.318099675273243,0.281379633147495,"AtKAT1",1
"GO:0038023","GO:0038023","signaling receptor activity","2/83","157/21809",0.120341798537759,0.318227397956883,0.281492612080392,"HHP1/NA",2
"GO:0050660","GO:0050660","flavin adenine dinucleotide binding","2/83","157/21809",0.120341798537759,0.318227397956883,0.281492612080392,"MO1/NA",2
"GO:0005372","GO:0005372","water transmembrane transporter activity","1/83","36/21809",0.128360631108659,0.318227397956883,0.281492612080392,"ATNLM2",1
"GO:0015250","GO:0015250","water channel activity","1/83","36/21809",0.128360631108659,0.318227397956883,0.281492612080392,"ATNLM2",1
"GO:0080030","GO:0080030","methyl indole-3-acetate esterase activity","1/83","36/21809",0.128360631108659,0.318227397956883,0.281492612080392,"NA",1
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","2/83","168/21809",0.134315669674705,0.31829857571697,0.281555573389624,"GPDHC1/UGD3",2
"GO:0004713","GO:0004713","protein tyrosine kinase activity","1/83","38/21809",0.134993601202569,0.31829857571697,0.281555573389624,"NA",1
"GO:0008509","GO:0008509","anion transmembrane transporter activity","3/83","336/21809",0.136413675307273,0.31829857571697,0.281555573389624,"NPF5.12/NA/ATNLM2",3
"GO:0051139","GO:0051139","metal ion:proton antiporter activity","1/83","40/21809",0.141576699519866,0.323992831593539,0.286592509149526,"AtNCL",1
"GO:0016758","GO:0016758","transferase activity, transferring hexosyl groups","3/83","352/21809",0.150530126282962,0.33354961097867,0.295046095514082,"AtGolS2/AtSIP2/RS5",3
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","1/83","43/21809",0.151358646998724,0.33354961097867,0.295046095514082,"FAR1",1
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","1/83","44/21809",0.154594759849,0.334486844036928,0.295875138466986,"AtNCL",1
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","3/83","365/21809",0.162333671032295,0.336954915910057,0.29805830686427,"ERD4/AtNCL/AtKAT1",3
"GO:0005244","GO:0005244","voltage-gated ion channel activity","1/83","47/21809",0.164230127082213,0.336954915910057,0.29805830686427,"AtKAT1",1
"GO:0022832","GO:0022832","voltage-gated channel activity","1/83","47/21809",0.164230127082213,0.336954915910057,0.29805830686427,"AtKAT1",1
"GO:0015297","GO:0015297","antiporter activity","2/83","197/21809",0.172682407906691,0.344014779958722,0.304303210932085,"AtNCL/NA",2
"GO:0060089","GO:0060089","molecular transducer activity","2/83","200/21809",0.176752459799619,0.344014779958722,0.304303210932085,"HHP1/NA",2
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","2/83","202/21809",0.179474425554298,0.344014779958722,0.304303210932085,"GPDHC1/UGD3",2
"GO:0015077","GO:0015077","monovalent inorganic cation transmembrane transporter activity","2/83","205/21809",0.183569630369909,0.344014779958722,0.304303210932085,"AtNCL/AtKAT1",2
"GO:0005451","GO:0005451","monovalent cation:proton antiporter activity","1/83","54/21809",0.186292754609664,0.344014779958722,0.304303210932085,"AtNCL",1
"GO:0004857","GO:0004857","enzyme inhibitor activity","2/83","208/21809",0.187678787974875,0.344014779958722,0.304303210932085,"ATPGIP1/NA",2
"GO:0015299","GO:0015299","solute:proton antiporter activity","1/83","55/21809",0.189397222610923,0.344014779958722,0.304303210932085,"AtNCL",1
"GO:0008324","GO:0008324","cation transmembrane transporter activity","3/83","397/21809",0.192500135610634,0.344014779958722,0.304303210932085,"ERD4/AtNCL/AtKAT1",3
"GO:0016706","GO:0016706","2-oxoglutarate-dependent dioxygenase activity","1/83","57/21809",0.195571096040179,0.344014779958722,0.304303210932085,"AtDMR6",1
"GO:0016746","GO:0016746","transferase activity, transferring acyl groups","3/83","404/21809",0.199283651901916,0.344014779958722,0.304303210932085,"KCS1/NA/GGT1",3
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","1/83","60/21809",0.204744900961053,0.344014779958722,0.304303210932085,"AtKAT1",1
"GO:0004497","GO:0004497","monooxygenase activity","2/83","221/21809",0.205626376351582,0.344014779958722,0.304303210932085,"NA/AtDMR6",2
"GO:0015491","GO:0015491","cation:cation antiporter activity","1/83","62/21809",0.210803270205413,0.344014779958722,0.304303210932085,"AtNCL",1
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","1/83","62/21809",0.210803270205413,0.344014779958722,0.304303210932085,"FAR1",1
"GO:0008080","GO:0008080","N-acetyltransferase activity","1/83","63/21809",0.213815332953053,0.344014779958722,0.304303210932085,"NA",1
"GO:0052689","GO:0052689","carboxylic ester hydrolase activity","2/83","229/21809",0.216765637337989,0.344014779958722,0.304303210932085,"NA/MAGL7",2
"GO:0030247","GO:0030247","polysaccharide binding","1/83","64/21809",0.216816037789111,0.344014779958722,0.304303210932085,"NA",1
"GO:0015298","GO:0015298","solute:cation antiporter activity","1/83","65/21809",0.219805427021739,0.344169023889302,0.304439649614597,"AtNCL",1
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","2/83","234/21809",0.223756502434817,0.344414113187956,0.304656446871257,"AtNCL/AtKAT1",2
"GO:0008242","GO:0008242","omega peptidase activity","1/83","67/21809",0.225750427131601,0.344414113187956,0.304656446871257,"GGT1",1
"GO:0015085","GO:0015085","calcium ion transmembrane transporter activity","1/83","69/21809",0.231650668644866,0.348942146439734,0.308661783670707,"AtNCL",1
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","1/83","77/21809",0.254810670127944,0.377802357195159,0.334190497297797,"NA",1
