"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005992","GO:0005992","trehalose biosynthetic process","2/55","16/21826",0.000731422530190343,0.134322024756655,0.115733668963263,"ATTPPB/TPPH",2
"GO:0005991","GO:0005991","trehalose metabolic process","2/55","19/21826",0.0010372357124066,0.134322024756655,0.115733668963263,"ATTPPB/TPPH",2
"GO:0046351","GO:0046351","disaccharide biosynthetic process","2/55","31/21826",0.00276644565749676,0.22003948151892,0.18958898631177,"ATTPPB/TPPH",2
"GO:0009312","GO:0009312","oligosaccharide biosynthetic process","2/55","38/21826",0.00413547525142418,0.22003948151892,0.18958898631177,"ATTPPB/TPPH",2
"GO:0009690","GO:0009690","cytokinin metabolic process","2/55","40/21826",0.00457368290391863,0.22003948151892,0.18958898631177,"ATCKX6/LOG5",2
"GO:0009789","GO:0009789","positive regulation of abscisic acid-activated signaling pathway","2/55","49/21826",0.0067965863017427,0.22003948151892,0.18958898631177,"CAR7/anac096",2
"GO:1901421","GO:1901421","positive regulation of response to alcohol","2/55","49/21826",0.0067965863017427,0.22003948151892,0.18958898631177,"CAR7/anac096",2
"GO:1905959","GO:1905959","positive regulation of cellular response to alcohol","2/55","49/21826",0.0067965863017427,0.22003948151892,0.18958898631177,"CAR7/anac096",2
"GO:0034754","GO:0034754","cellular hormone metabolic process","2/55","56/21826",0.00880076513005084,0.251291812654995,0.216516416512331,"ATCKX6/LOG5",2
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","4/55","349/21826",0.0115514062075174,0.251291812654995,0.216516416512331,"OBP2/ATTPPB/ATGSL04/TPPH",4
"GO:0043455","GO:0043455","regulation of secondary metabolic process","2/55","65/21826",0.0117163589023346,0.251291812654995,0.216516416512331,"OBP2/KFB39",2
"GO:0005984","GO:0005984","disaccharide metabolic process","2/55","70/21826",0.0134948237492638,0.251291812654995,0.216516416512331,"ATTPPB/TPPH",2
"GO:0009311","GO:0009311","oligosaccharide metabolic process","2/55","82/21826",0.0182046078516916,0.251291812654995,0.216516416512331,"ATTPPB/TPPH",2
"GO:0034637","GO:0034637","cellular carbohydrate biosynthetic process","3/55","231/21826",0.0205042708975341,0.251291812654995,0.216516416512331,"ATTPPB/ATGSL04/TPPH",3
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","4/55","424/21826",0.0219940247279597,0.251291812654995,0.216516416512331,"OBP2/ATTPPB/ATGSL04/TPPH",4
"GO:1902882","GO:1902882","regulation of response to oxidative stress","1/55","10/21826",0.0249205434445362,0.251291812654995,0.216516416512331,"AtDJ1A",1
"GO:0048584","GO:0048584","positive regulation of response to stimulus","3/55","252/21826",0.0256875523152971,0.251291812654995,0.216516416512331,"CAR7/AtDJ1A/anac096",3
"GO:0009967","GO:0009967","positive regulation of signal transduction","2/55","100/21826",0.0263660271073234,0.251291812654995,0.216516416512331,"CAR7/anac096",2
"GO:0023056","GO:0023056","positive regulation of signaling","2/55","101/21826",0.0268558632059856,0.251291812654995,0.216516416512331,"CAR7/anac096",2
"GO:0006549","GO:0006549","isoleucine metabolic process","1/55","11/21826",0.0273788020671316,0.251291812654995,0.216516416512331,"ATBCAT-2",1
"GO:0009097","GO:0009097","isoleucine biosynthetic process","1/55","11/21826",0.0273788020671316,0.251291812654995,0.216516416512331,"ATBCAT-2",1
"GO:0010647","GO:0010647","positive regulation of cell communication","2/55","104/21826",0.0283474361347757,0.251291812654995,0.216516416512331,"CAR7/anac096",2
"GO:0010088","GO:0010088","phloem development","1/55","12/21826",0.0298309756122294,0.251291812654995,0.216516416512331,"DAR2",1
"GO:0010274","GO:0010274","hydrotropism","1/55","12/21826",0.0298309756122294,0.251291812654995,0.216516416512331,"NA",1
"GO:0010439","GO:0010439","regulation of glucosinolate biosynthetic process","1/55","12/21826",0.0298309756122294,0.251291812654995,0.216516416512331,"OBP2",1
"GO:0006979","GO:0006979","response to oxidative stress","4/55","467/21826",0.0299573262374018,0.251291812654995,0.216516416512331,"ISTL6/ATCYSA/AtDJ1A/NA",4
"GO:0006074","GO:0006074","(1->3)-beta-D-glucan metabolic process","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"ATGSL04",1
"GO:0006075","GO:0006075","(1->3)-beta-D-glucan biosynthetic process","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"ATGSL04",1
"GO:0010093","GO:0010093","specification of floral organ identity","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"AGL9",1
"GO:0034308","GO:0034308","primary alcohol metabolic process","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"AtDJ1A",1
"GO:0048579","GO:0048579","negative regulation of long-day photoperiodism, flowering","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"CDF5",1
"GO:0048587","GO:0048587","regulation of short-day photoperiodism, flowering","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"CDF5",1
"GO:0080001","GO:0080001","mucilage extrusion from seed coat","1/55","13/21826",0.0322770788643304,0.251291812654995,0.216516416512331,"AGL9",1
"GO:0090701","GO:0090701","specification of plant organ identity","1/55","14/21826",0.0347171265726907,0.251291812654995,0.216516416512331,"AGL9",1
"GO:0009787","GO:0009787","regulation of abscisic acid-activated signaling pathway","2/55","119/21826",0.0362841157757967,0.251291812654995,0.216516416512331,"CAR7/anac096",2
"GO:1901419","GO:1901419","regulation of response to alcohol","2/55","119/21826",0.0362841157757967,0.251291812654995,0.216516416512331,"CAR7/anac096",2
"GO:1905957","GO:1905957","regulation of cellular response to alcohol","2/55","119/21826",0.0362841157757967,0.251291812654995,0.216516416512331,"CAR7/anac096",2
"GO:0009098","GO:0009098","leucine biosynthetic process","1/55","15/21826",0.0371511334514042,0.251291812654995,0.216516416512331,"ATBCAT-2",1
"GO:0048572","GO:0048572","short-day photoperiodism","1/55","17/21826",0.0420010834009491,0.251291812654995,0.216516416512331,"CDF5",1
"GO:0048575","GO:0048575","short-day photoperiodism, flowering","1/55","17/21826",0.0420010834009491,0.251291812654995,0.216516416512331,"CDF5",1
"GO:0051865","GO:0051865","protein autoubiquitination","1/55","17/21826",0.0420010834009491,0.251291812654995,0.216516416512331,"MPSR1",1
"GO:0071333","GO:0071333","cellular response to glucose stimulus","1/55","18/21826",0.0444170557248957,0.251291812654995,0.216516416512331,"ATBZIP9",1
"GO:0009308","GO:0009308","amine metabolic process","2/55","135/21826",0.0455734027605642,0.251291812654995,0.216516416512331,"ATCKX6/LOG5",2
"GO:0015770","GO:0015770","sucrose transport","1/55","20/21826",0.0492310679425425,0.251291812654995,0.216516416512331,"AtSWEET11",1
"GO:0071326","GO:0071326","cellular response to monosaccharide stimulus","1/55","20/21826",0.0492310679425425,0.251291812654995,0.216516416512331,"ATBZIP9",1
"GO:0071331","GO:0071331","cellular response to hexose stimulus","1/55","20/21826",0.0492310679425425,0.251291812654995,0.216516416512331,"ATBZIP9",1
"GO:0042445","GO:0042445","hormone metabolic process","2/55","142/21826",0.0498851934317549,0.251291812654995,0.216516416512331,"ATCKX6/LOG5",2
"GO:0009691","GO:0009691","cytokinin biosynthetic process","1/55","21/21826",0.0516291368805943,0.251291812654995,0.216516416512331,"LOG5",1
"GO:0015766","GO:0015766","disaccharide transport","1/55","22/21826",0.054021267009994,0.251291812654995,0.216516416512331,"AtSWEET11",1
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process","2/55","149/21826",0.0543387652089139,0.251291812654995,0.216516416512331,"CDF5/CDF4",2
"GO:0001678","GO:0001678","cellular glucose homeostasis","1/55","23/21826",0.0564074727664815,0.251291812654995,0.216516416512331,"ATBZIP9",1
"GO:0006573","GO:0006573","valine metabolic process","1/55","23/21826",0.0564074727664815,0.251291812654995,0.216516416512331,"ATBCAT-2",1
"GO:0015772","GO:0015772","oligosaccharide transport","1/55","23/21826",0.0564074727664815,0.251291812654995,0.216516416512331,"AtSWEET11",1
"GO:0006551","GO:0006551","leucine metabolic process","1/55","24/21826",0.0587877685513665,0.251291812654995,0.216516416512331,"ATBCAT-2",1
"GO:0071218","GO:0071218","cellular response to misfolded protein","1/55","24/21826",0.0587877685513665,0.251291812654995,0.216516416512331,"MPSR1",1
