"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000278","GO:0000278","mitotic cell cycle","18/66","289/21826",3.56174136356597e-19,9.38281850520652e-17,6.25104497348869e-17,"CYCB2;3/CDKB2;2/CYCA1;1/CDKB2;1/CYCA2;4/AtAUR2/CKS2/TBB7/BUBR1/CDKB1;2/BUB3.1/CDC2B/NA/GIG1/TRM7/AtAUR1/ADL1/TUB2",18
"GO:0007017","GO:0007017","microtubule-based process","17/66","241/21826",4.7507941798514e-19,9.38281850520652e-17,6.25104497348869e-17,"TOR2/NA/ZCF125/AtAUR2/TBB7/NA/NA/NA/TRM7/MAP65-4/NA/AtAUR1/NA/NA/ATMAP65-3/TUB2/ATEB1C",17
"GO:0051726","GO:0051726","regulation of cell cycle","13/66","250/21826",5.10062188503155e-13,4.02949128917492e-11,2.68453783422713e-11,"CYCB2;3/CDKB2;2/CYCA1;1/CDKB2;1/CYCA2;4/AtAUR2/CKS2/BUBR1/CDKB1;2/BUB3.1/CDC2B/GIG1/AtAUR1",13
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","10/66","177/21826",1.35809213651292e-10,5.36446393922604e-09,3.573926675034e-09,"AtAUR2/TBB7/NA/TRM7/MAP65-4/NA/AtAUR1/ATMAP65-3/TUB2/ATEB1C",10
"GO:0007018","GO:0007018","microtubule-based movement","6/66","67/21826",5.2332215822742e-08,1.03356126249916e-06,6.88581787141343e-07,"NA/ZCF125/NA/NA/NA/NA",6
"GO:0006928","GO:0006928","movement of cell or subcellular component","6/66","89/21826",2.89323594665879e-07,5.44203904252486e-06,3.62560895571277e-06,"NA/ZCF125/NA/NA/NA/NA",6
"GO:0051301","GO:0051301","cell division","8/66","268/21826",1.44453309600884e-06,2.59359351328861e-05,1.72791040192446e-05,"DRP5A/CYCA2;4/AtAUR2/TRM7/MAP65-4/AtAUR1/ADL1/ATMAP65-3",8
"GO:0008284","GO:0008284","positive regulation of cell population proliferation","4/66","31/21826",2.25613750382299e-06,3.87467093047861e-05,2.5813930249691e-05,"CDKB2;2/CDKB2;1/CDKB1;2/CDC2B",4
"GO:0000280","GO:0000280","nuclear division","7/66","212/21826",3.53970718150159e-06,5.59273734677252e-05,3.72600755947536e-05,"NA/BUBR1/BUB3.1/NA/GIG1/ADL1/ATMAP65-3",7
"GO:0140014","GO:0140014","mitotic nuclear division","5/66","102/21826",1.43940962950246e-05,0.000210580297649434,0.000140293336208816,"BUBR1/BUB3.1/NA/GIG1/ADL1",5
