"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099503","GO:0099503","secretory vesicle","3/50","173/25052",0.00499974594139478,0.0999949188278956,0.0789433569693913,"AtCRT1b/ATPCB/BGLU37",3
"GO:0009505","GO:0009505","plant-type cell wall","3/50","235/25052",0.0115505648135919,0.115505648135919,0.0911886695809889,"ATROPGEF4/ATPCB/PAE8",3
"GO:0030867","GO:0030867","rough endoplasmic reticulum membrane","1/50","13/25052",0.0256436575298906,0.133614199956224,0.105484894702282,"NA",1
"GO:0005791","GO:0005791","rough endoplasmic reticulum","1/50","14/25052",0.0275893349580428,0.133614199956224,0.105484894702282,"NA",1
"GO:0009531","GO:0009531","secondary cell wall","1/50","17/25052",0.033403549989056,0.133614199956224,0.105484894702282,"ATROPGEF4",1
"GO:0000137","GO:0000137","Golgi cis cisterna","1/50","41/25052",0.0787069366468297,0.259681270600318,0.205011529421303,"MANIA",1
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","2/50","293/25052",0.115972980062404,0.259681270600318,0.205011529421303,"AtCRT1b/NA",2
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","2/50","298/25052",0.119238449934552,0.259681270600318,0.205011529421303,"AtCRT1b/NA",2
"GO:0048046","GO:0048046","apoplast","2/50","298/25052",0.119238449934552,0.259681270600318,0.205011529421303,"ATPCB/BGLU37",2
"GO:0031225","GO:0031225","anchored component of membrane","2/50","314/25052",0.129840635300159,0.259681270600318,0.205011529421303,"NA/NA",2
"GO:0000139","GO:0000139","Golgi membrane","1/50","104/25052",0.187958969819174,0.341743581489407,0.269797564333742,"MANIA",1
"GO:0031985","GO:0031985","Golgi cisterna","1/50","187/25052",0.31270512447216,0.500070752911792,0.394792699667204,"MANIA",1
"GO:0005795","GO:0005795","Golgi stack","1/50","196/25052",0.325045989392664,0.500070752911792,0.394792699667204,"MANIA",1
"GO:0005802","GO:0005802","trans-Golgi network","1/50","312/25052",0.465932139001798,0.563228566367836,0.444654131343028,"MANIA",1
"GO:0022626","GO:0022626","cytosolic ribosome","1/50","319/25052",0.473442916244958,0.563228566367836,0.444654131343028,"BGLU37",1
"GO:0005777","GO:0005777","peroxisome","1/50","324/25052",0.47874428141266,0.563228566367836,0.444654131343028,"BGLU37",1
"GO:0042579","GO:0042579","microbody","1/50","324/25052",0.47874428141266,0.563228566367836,0.444654131343028,"BGLU37",1
"GO:0005840","GO:0005840","ribosome","1/50","388/25052",0.542152429984841,0.568333613513513,0.448684431721194,"BGLU37",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","1/50","390/25052",0.544006925396783,0.568333613513513,0.448684431721194,"MANIA",1
"GO:0005768","GO:0005768","endosome","1/50","417/25052",0.568333613513513,0.568333613513513,0.448684431721194,"MANIA",1
