"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099081","GO:0099081","supramolecular polymer","16/72","184/25052",1.06292500537707e-19,3.61394501828204e-18,1.93937193963536e-18,"NA/IQD6/TBB7/BUBR1/NA/BUB3.1/MAP65-4/CORD3/AtAUR1/NA/NA/ADL1/AtFIM2/ATMAP65-3/TUB2/ATEB1C",16
"GO:0099512","GO:0099512","supramolecular fiber","16/72","184/25052",1.06292500537707e-19,3.61394501828204e-18,1.93937193963536e-18,"NA/IQD6/TBB7/BUBR1/NA/BUB3.1/MAP65-4/CORD3/AtAUR1/NA/NA/ADL1/AtFIM2/ATMAP65-3/TUB2/ATEB1C",16
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","16/72","184/25052",1.06292500537707e-19,3.61394501828204e-18,1.93937193963536e-18,"NA/IQD6/TBB7/BUBR1/NA/BUB3.1/MAP65-4/CORD3/AtAUR1/NA/NA/ADL1/AtFIM2/ATMAP65-3/TUB2/ATEB1C",16
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","8/72","62/25052",9.31193323197119e-12,1.18727148707633e-10,6.3713227376645e-11,"CYCB2;3/CDKB2;2/CYCA1;1/CDKB2;1/CYCA2;4/CKS2/CDKB1;2/CDC2B",8
"GO:0000794","GO:0000794","condensed nuclear chromosome","4/72","42/25052",6.46214050293739e-06,3.13208242627574e-05,1.68078726693848e-05,"BUBR1/NA/3xHMG-box1/AtAUR1",4
"GO:0018995","GO:0018995","host cellular component","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0033643","GO:0033643","host cell part","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0033646","GO:0033646","host intracellular part","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0033647","GO:0033647","host intracellular organelle","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0033648","GO:0033648","host intracellular membrane-bounded organelle","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0042025","GO:0042025","host cell nucleus","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0043656","GO:0043656","host intracellular region","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0043657","GO:0043657","host cell","6/72","161/25052",7.06253880434726e-06,3.13208242627574e-05,1.68078726693848e-05,"IMPA-6/POLD4/CYCB2;3/CYCA1;1/CYCA2;4/ATIMPALPHA3",6
"GO:0009524","GO:0009524","phragmoplast","4/72","62/25052",3.08397898908977e-05,0.000125826342754862,6.75229083927023e-05,"BUB3.1/MAP65-4/ATMAP65-3/ATEB1C",4
"GO:0030136","GO:0030136","clathrin-coated vesicle","2/72","50/25052",0.00912800244816225,0.0227086890173793,0.0121862933839393,"NA/ADL1",2
